Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
99,Chris Ledlum,SR,2022-23,F,Harvard,Ivy,19,599,31.5,7.2,14.6,5.8,10.0,1.4,4.6,3.1,5.0,2.9,6.1,8.9,1.6,1.6,1.1,2.6,2.3,18.8
100,Bryce Pope,JR,2022-23,G,UC San Diego,Big West,18,601,33.4,7.0,15.8,4.8,9.4,2.2,6.4,2.7,3.2,0.5,2.9,3.4,1.3,1.3,0.2,1.2,1.4,18.8
101,Zyon Pullin,SR,2022-23,G,UC Riverside,Big West,15,514,34.3,7.1,13.6,6.1,11.7,0.9,1.9,3.7,4.9,0.4,3.9,4.3,4.0,0.7,0.1,2.6,1.9,18.8
102,MJ Randolph,SR,2021-22,G,Florida A&M,SWAC,30,1158,38.6,6.9,14.9,6.6,13.4,0.4,1.5,4.6,6.7,1.4,4.8,6.2,3.5,2.0,0.1,3.4,2.1,18.8
103,Keyontae Johnson,SR,2022-23,F,Kansas State,Big 12,18,604,33.6,6.8,12.3,5.6,9.2,1.2,3.1,3.9,5.2,2.0,5.2,7.2,2.4,1.3,0.3,3.1,2.2,18.7
104,Brandin Podziemski,SO,2022-23,G,Santa Clara,WCC,20,711,35.6,6.5,13.9,4.4,8.7,2.1,5.3,3.7,4.6,2.1,6.4,8.5,3.5,2.1,0.4,2.3,2.2,18.7
105,Rayj Dennis,JR,2022-23,G,Toledo,MAC,19,637,33.5,7.1,15.5,5.5,11.1,1.6,4.4,2.9,3.9,0.7,3.5,4.2,6.0,1.5,0.3,2.1,1.8,18.6
106,Tucker DeVries,SO,2022-23,G,Drake,MVC,20,677,33.9,6.3,13.9,3.8,7.4,2.5,6.5,3.6,4.5,0.9,5.1,6.0,1.8,1.2,0.3,1.5,2.1,18.6
107,Hunter Dickinson,SO,2021-22,C,Michigan,Big Ten,32,1034,32.3,7.5,13.3,6.8,11.3,0.7,2.0,2.9,3.6,2.3,6.2,8.6,2.3,0.5,1.5,2.0,2.7,18.6
108,Savion Flagg,SR,2021-22,G,Sam Houston State,WAC,32,1068,33.4,7.1,16.2,4.8,9.6,2.3,6.6,2.2,4.3,2.3,5.9,8.2,2.2,1.0,0.3,2.5,1.7,18.6
109,DaRon Holmes II,SO,2022-23,F,Dayton,A-10,19,642,33.8,6.9,11.4,6.7,10.9,0.2,0.5,4.6,6.9,2.8,5.2,8.0,1.8,0.6,2.0,2.8,2.3,18.6
110,Trayce Jackson-Davis,SR,2022-23,F,Indiana,Big Ten,15,466,31.1,7.4,12.1,7.4,12.1,0.0,0.0,3.8,5.5,2.9,6.9,9.8,3.5,0.5,2.9,2.1,1.7,18.6
111,RayQuawndis Mitchell,SR,2022-23,G,Kansas City,Summit,20,707,35.4,5.5,15.2,2.7,6.6,2.8,8.6,5.0,6.1,0.9,3.1,4.0,1.9,0.9,0.1,3.0,1.9,18.6
112,Lamar Norman,SR,2022-23,G,Western Michigan,MAC,17,607,35.7,6.1,14.1,3.1,6.0,3.1,8.1,3.3,3.8,0.8,1.7,2.5,2.9,0.8,0.1,2.0,1.4,18.6
113,Isaiah Stevens,SR,2022-23,G,Colorado State,MWC,13,460,35.4,6.7,14.5,4.5,8.8,2.2,5.7,3.1,3.5,0.5,2.8,3.4,6.6,0.9,0.2,1.8,1.7,18.6
114,Aaron Estrada,JR,2021-22,G,Hofstra,CAA,32,1125,35.2,7.2,15.1,5.3,9.3,1.9,5.8,2.3,2.4,0.5,5.2,5.7,5.0,1.5,0.2,2.6,1.3,18.5
115,Hunter Maldonado,SR,2021-22,G,Wyoming,MWC,33,1231,37.3,6.5,13.0,5.8,10.5,0.6,2.5,4.9,6.9,1.0,4.7,5.7,6.3,1.2,0.1,3.7,2.8,18.5
116,Kevin Miller,SO,2022-23,G,Central Michigan,MAC,4,141,35.3,6.8,13.0,6.0,11.0,0.8,2.0,4.3,5.5,1.3,2.5,3.8,5.3,0.8,0.0,4.5,2.0,18.5
117,JT Shumate,SR,2022-23,F,Toledo,MAC,19,559,29.4,6.8,11.7,4.9,7.3,1.9,4.4,3.0,3.4,1.8,2.9,4.7,1.5,0.4,1.4,0.9,2.6,18.5
118,Alondes Williams,SR,2021-22,G,Wake Forest,ACC,35,1194,34.1,6.9,13.6,5.8,9.6,1.1,4.1,3.6,5.2,1.4,5.0,6.4,5.2,1.2,0.4,3.6,2.1,18.5
119,Cobe Williams,JR,2022-23,G,Louisiana Tech,CUSA,17,567,33.4,6.3,13.8,4.4,7.9,1.9,5.9,4.0,5.3,0.6,2.5,3.2,4.4,2.3,0.5,3.1,3.0,18.5
120,Grant Basile,JR,2021-22,F,Wright State,Horizon,36,1173,32.6,6.9,13.8,5.8,9.9,1.1,3.8,3.6,4.6,2.6,5.9,8.5,2.0,0.9,1.6,3.0,2.8,18.4
121,Claudell Harris,SO,2022-23,G,Charleston Southern,Big South,18,557,30.9,6.6,14.0,4.4,7.0,2.2,7.0,3.1,3.8,0.5,3.5,4.0,2.3,1.1,0.3,2.2,2.1,18.4
122,Drew Timme,JR,2021-22,F,Gonzaga,WCC,32,896,28.0,7.3,12.4,7.0,11.5,0.3,0.9,3.7,5.4,1.8,4.9,6.8,2.8,0.3,0.8,2.5,1.6,18.4
123,John-Michael Wright,JR,2021-22,G,High Point,Big South,32,1117,34.9,6.1,14.9,4.1,9.3,2.0,5.6,4.2,5.3,0.7,3.7,4.4,3.4,1.0,0.3,2.6,2.3,18.4
124,Trayce Jackson-Davis,JR,2021-22,F,Indiana,Big Ten,35,1129,32.3,7.0,11.9,7.0,11.9,0.0,0.1,4.2,6.2,2.2,5.9,8.1,1.9,0.6,2.3,1.7,1.9,18.3
